feature,VIF
sme_sector,inf
sector_name_Services,inf
PRI.SANCTIONED.AMOUNT,2166.858694
PRI.DISBURSED.AMOUNT,2165.74141
SEC.SANCTIONED.AMOUNT,802.5899951
SEC.DISBURSED.AMOUNT,801.5198961
PERFORM_CNS.SCORE,173.1594319
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Not Scored,95.36834638
disbursed_amount,36.03848939
asset_cost,33.72529794
sme_category_MICRO,27.33918759
sme_category_SMALL,27.19627874
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Very Low Risk,26.74984176
PRI.CURRENT.BALANCE,15.96118632
ltv,15.20021918
SEC.CURRENT.BALANCE,10.44015853
Aadhar_flag,7.10330424
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Low Risk,6.886148916
VoterID_flag,6.312570589
SEC.ACTIVE.ACCTS,5.057686632
SEC.NO.OF.ACCTS,4.894467173
DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,4.551911355
Delinquent,4.230646059
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Very High Risk,3.857433401
PRI.ACTIVE.ACCTS,3.761349019
PERFORM_CNS.SCORE.DESCRIPTION_Simplified_Medium Risk,3.234675992
PRI.OVERDUE.ACCTS,2.424587199
NEW.ACCTS.IN.LAST.SIX.MONTHS,2.399527022
Driving_flag,1.873318392
state_name_cnt,1.835237986
district_name_cnt,1.78840574
bsr_activity_cd,1.758942313
scheme_cd_cnt,1.684143451
module_id_cdcc ,1.513932195
SEC.OVERDUE.ACCTS,1.504824863
industry_name_cnt,1.343304772
SEC.INSTAL.AMT,1.154550236
region_name_cnt,1.129685739
bsr_org_cd,1.110517814
branch_name_cnt,1.094248326
Age_of_Customer,1.085123071
Passport_flag,1.061172056
PRIMARY.INSTAL.AMT,1.054368915
PAN_flag,1.053274123
Employment.Type_Self employed,1.038604287
Age_of_Loan,1.015270388
open_dt_day_cnt,1.00163426
MobileNo_Avl_Flag,0
